City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,atasu,48.6814,71.6433,25.82,23,10,2.99,KZ,1686628101
182,kristiansund,63.1115,7.732,14.03,76,75,1.03,NO,1686628012
183,knoxville,35.9606,-83.9207,18.11,82,0,3.09,US,1686628022
184,watsa,3.0372,29.5355,15.44,96,47,1.38,CD,1686628101
185,afaahiti,-17.75,-149.2833,26.93,70,35,7.97,PF,1686627899
186,cangas del narcea,43.1833,-6.55,14.57,97,92,0.9,ES,1686628101
187,port-vila,-17.7338,168.3219,25.78,73,100,5.14,VU,1686628101
188,carnarvon,-24.8667,113.6333,20.63,29,0,5.83,AU,1686627974
189,genhe,50.7833,121.5167,29.74,24,91,3.27,CN,1686628003
190,mingshui,36.7167,117.5,30.35,28,22,4.26,CN,1686628101
191,mogocha,53.7333,119.7667,14.65,52,98,5.0,RU,1686628101
192,hailey,43.5196,-114.3153,14.92,72,75,4.12,US,1686628102
193,sibu,2.3,111.8167,32.17,70,40,1.54,MY,1686628102
194,amga,60.8953,131.9608,4.47,92,100,1.81,RU,1686627971
195,adrar,20.5022,-10.0711,27.17,21,43,6.24,MR,1686628102
196,queenstown,-31.8976,26.8753,6.0,63,48,5.26,ZA,1686628102
197,lihue,21.9789,-159.3672,27.58,78,40,6.17,US,1686627972
198,port mathurin,-19.6833,63.4167,24.79,74,11,6.98,MU,1686627980
199,susuman,62.7833,148.1667,10.02,82,100,3.75,RU,1686628022
200,rakvere,59.3464,26.3558,13.84,59,6,2.0,EE,1686628102
201,flying fish cove,-10.4217,105.6791,27.82,83,75,6.17,CX,1686628015
202,sirte,31.2089,16.5887,21.14,84,0,2.74,LY,1686628102
203,bathsheba,13.2167,-59.5167,27.34,89,40,4.12,BB,1686628006
204,tamanrasset,22.785,5.5228,26.95,29,20,2.06,DZ,1686627905
205,manggar,-2.8833,108.2667,28.56,80,25,6.63,ID,1686628103
206,polyarnyy,69.1989,33.4478,9.73,66,93,7.17,RU,1686628103
207,victoria falls,-17.9235,25.843,14.58,27,23,3.09,ZW,1686628103
208,haiku-pauwela,20.9219,-156.3051,28.01,58,0,10.29,US,1686627921
209,kalmunai,7.4167,81.8167,30.37,62,97,1.09,LK,1686628103
210,sanibel,26.449,-82.0223,29.03,83,0,0.45,US,1686627843
211,ghorawal,24.7667,82.7833,41.38,19,28,8.24,IN,1686628103
212,dauphin,51.1494,-100.0502,21.08,68,75,0.0,CA,1686628103
213,dadukou,26.5479,101.7054,20.82,71,97,1.38,CN,1686628103
214,san antonio de pale,-1.4014,5.6325,24.33,88,98,2.93,GQ,1686628104
215,ulladulla,-35.35,150.4667,19.63,41,100,4.09,AU,1686627994
216,meadow lakes,61.6247,-149.6011,10.93,72,75,3.09,US,1686628017
217,port lincoln,-34.7333,135.8667,13.95,59,96,9.27,AU,1686627988
218,enewetak,11.3474,162.3373,27.98,82,99,8.32,MH,1686627917
219,murray bridge,-35.1167,139.2667,15.07,55,8,10.02,AU,1686628104
220,pisco,-13.7,-76.2167,19.03,77,2,1.03,PE,1686628003
221,nar'yan-mar,67.6713,53.087,10.71,48,86,3.9,RU,1686627999
222,salinas,36.6777,-121.6555,16.12,81,75,3.09,US,1686628104
223,okhotsk,59.3833,143.3,8.44,86,90,5.54,RU,1686628104
